S. No.,Song Name,Genre,Source,Keywords/Themes
33,Tella Cheera Tella Raika,Family,https://archive.org/details/arrjp-t/tella_cheera_tella_raika_popular_telugu_folk_song.mp3,"Sister-in-law vs. Brother-in-law, Mischief, Fun"
34,Yadike Pilla Rajitha,Romance,https://archive.org/details/arrjp-t/yadike_pilla_rajitha_telugu_folk_video_song.mp3,"Secret Meeting, Village Romance, Flirtation"
35,Yegilli Baranga Thayyarai,Family,https://archive.org/details/arrjp-t/yegilli_baranga_thayyarai_telangana_folk_song.mp3,"Suspicious Husband, Jealousy, Argument"
36,Emantu Cheppane Eruvaaka,Agrarian,https://youtu.be/8bAZiKzWxoo,"Farming Crisis, Drought, Agrarian Distress"
37,Ooru Vidavamannadi Karuvu,Agrarian,https://youtu.be/8bAZiKzWxoo,"Drought, Migration, Rural Hardship"
38,Ratanaala Raasullo Raajole Tirigina,Protest,https://youtu.be/8bAZiKzWxoo,"Telangana Pride, Exploitation, Awakening"
39,O Palle Naa Thalli Kalpavalli,Nostalgia,https://youtu.be/8bAZiKzWxoo,"Village Nostalgia, Nature, Childhood Memories"
40,Appula Baadhalu Thaalaleka,Agrarian,https://youtu.be/8bAZiKzWxoo,"Farmer Debts, Suicide, Tragedy"
41,Pachani Maa Palleturu,Nostalgia,https://youtu.be/8bAZiKzWxoo,"Village Beauty, Nature, Harmony"
42,Entha Cheppina Theeru Raithanna Vyadhalu,Agrarian,https://youtu.be/8bAZiKzWxoo,"Farmer Hardships, Grief, Agriculture"
43,Karru Oodipoyindi,Agrarian,https://youtu.be/8bAZiKzWxoo,"Broken Plow, Farming Struggles, Hardship"
44,Siguru Sinthalla Meedha,Nature,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Nature, Folk Motif, Parrot (Silaka)"
45,Banthi Puvvula Dhanda,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Romance, Flirtation, Gifts"
46,Paakala Cheruvu Venakaaro,Nature,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Nature, Village Life, Devotion"
47,Dabal Dabal Angiloniki,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Admiration of a Man, Attraction, Style"
48,Girra Girra Bandi,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Bullock Cart, Journey, Romance"
49,Aathranga Pothunnav Ye Ooru,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Flirtation, Inquiry, Playfulness"
50,Ringu Ringu Yentikalayya,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Admiration, Beauty, Attraction"
51,Yaparla Japarla Sailanna,Travel,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Hyderabad Landmarks, Golconda, Charminar"
52,Yennadu Raanodu Baavochinaado,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Bava Visiting, Hospitality, Teasing"
53,Yemi Panulu Vasthaayi,Family,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Mother-in-law vs. Daughter-in-law, Refusal to Work"
54,Maaradhe Maaradhe,Heartbreak,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Heartbreak, Betrayal, Lost Love"
55,Gunna Gunna Maavulla,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Romance, Nature, Village Aesthetics"
56,Rava Reevalayya,Devotional,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Lord Shiva, Devotion, Bhakti"
57,Bilabilaala Vaasana,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Fragrance, Romance, Attraction"
58,Ori Naaga,Devotional,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Snake Deity (Nagula Chavithi), Devotion, Ritual"
59,Sikkudu Neeventha Siggaari,Romance,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,"Admiration, Beauty, Romance"
60,Aadavilona Tirigeti,Elegy,https://www.youtube.com/watch?v=W3HgYK2pUEs,"Missing Brother, Underground Movement, Family Grief"
61,Illidisi Yellipottunna,Migration,https://www.youtube.com/watch?v=W3HgYK2pUEs,"Migration, Leaving Home, Nostalgia"
62,Muddula Bavayyo,Revolutionary,https://www.youtube.com/watch?v=W3HgYK2pUEs,"Naxalite Movement, Missing Comrade, Struggle"
63,Na Aratakulanti,Social Tragedy,https://www.youtube.com/watch?v=W3HgYK2pUEs,"Child Labor, Denied Education, Poverty"
64,Vadagandla Vana Ninnu,Agrarian,https://www.youtube.com/watch?v=W3HgYK2pUEs,"Hailstorm, Crop Destruction, Farmer Misery"
65,Yemi Dubai Yemi,Migration,https://www.youtube.com/watch?v=W3HgYK2pUEs,"Gulf Migration, Family Separation, Debt"
66,Nela Ralina Modugha Poovu,Social Tragedy,https://www.youtube.com/watch?v=g7Ke6DTFr6E,"Village Neglect, Poverty, Despair"
67,Ma Palle Yentho Muddhu,Nostalgia,https://www.youtube.com/watch?v=g7Ke6DTFr6E,"Village Pride, Nature, Aesthetics"
68,Oorumu Thunnadhi,Social Justice,https://www.youtube.com/watch?v=g7Ke6DTFr6E,"Caste Discrimination, Social Justice, Equality"
69,Pancha Bhoothalu Chupani,Social Justice,https://www.youtube.com/watch?v=g7Ke6DTFr6E,"Caste Discrimination, Social Justice, Protest"
70,Ratanala Koduka Raara,Elegy,https://www.youtube.com/watch?v=g7Ke6DTFr6E,"Mother's Plea, Migrated Son, Grief"
71,Cellphone Vachindo,Satire,https://www.youtube.com/watch?v=g7Ke6DTFr6E,"Technology, Mobile Phones, Modern Changes"
72,Jampandu Pillo,Romance,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Romance, Flirtation, Youth"
73,Kallu Muntha,Lifestyle,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Drinking Toddy (Kallu), Intoxication, Humor"
74,Rela Re,Tribal,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Tribal (Adivasi) Life, Nature, Culture"
75,Lalaguda Lambadola,Tribal Romance,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Lambada (Banjara) Culture, Romance, Youth"
76,Seta Seta,Romance,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Rain, Romance, Nature"
77,Botla Botla,Romance,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Romance, Bava-Maradalu, Flirtation"
78,Vayyari Bama Ro,Romance,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Admiration, Beauty, Romance"
79,Yeniyallo,Festival,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Village Festivity, Romance, Joy"
80,Bapanolla Pilla,Romance,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Cross-Caste Romance, Mischief, Youth"
81,Poru Bandaru,Protest,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Protest, Telangana Movement, Awakening"
82,Andariki Amma,Family,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Motherhood, Affection, Family"
83,Gajala Edla Bandi,Romance,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Bullock Cart, Village Romance, Journey"
84,Panta Senu,Romance,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,"Farming, Field Work, Courtship"
85,Yellu Yellu Yellamma,Devotional,https://www.youtube.com/watch?v=2_EXzhBse28,"Bonalu Festival, Goddess Yellamma, Devotion"
86,Laskarlo Velasina O Rani,Devotional,https://www.youtube.com/watch?v=2_EXzhBse28,"Bonalu Festival, Goddess Mahankali, Devotion"
87,Gubha Gubha Guggilalu,Devotional,https://www.youtube.com/watch?v=2_EXzhBse28,"Bonalu Festival, Goddess Maisamma, Rituals"
88,Bora Banda Meedha,Devotional,https://www.youtube.com/watch?v=2_EXzhBse28,"Bonalu Festival, Goddess Maisamma, Devotion"
89,Podam Pade Jatharo,Festival,https://www.youtube.com/watch?v=2_EXzhBse28,"Village Fair (Jatara), Celebration, Community"
90,Eduruleni Devathavamma,Devotional,https://www.youtube.com/watch?v=2_EXzhBse28,"Bonalu Festival, Mother Goddess, Devotion"
91,Amma Rave Devi Rave,Devotional,https://www.youtube.com/watch?v=2_EXzhBse28,"Bonalu Festival, Goddess Maisamma, Trance/Devotion"
92,Dandalu Dandalu,Devotional,https://www.youtube.com/watch?v=2_EXzhBse28,"Bonalu Festival, Surrender to Goddess, Devotion"
93,Chalo Vijayageeti,Elegy,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Martyrs' Tribute, Protest, Telangana Struggle"
94,Jai Jai Telangana Chalo,Movement,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Telangana Movement, Agitation, Awakening"
95,Mogulupai Vennela,Tribal Protest,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Tribal (Adivasi) Struggles, Displacement, Nature"
96,Sinuku Sinuku,Nature,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Rain, Monsoon Joy, Farming"
97,Koyila Nalla Koyila,Social Justice,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Caste Discrimination, Labor Rights, Protest"
98,Aadivaasula,Tribal Rights,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Tribal (Adivasi) Rights, Anti-Exploitation, Struggle"
99,Telunginti Velugu Rekha,Tribute,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Telangana Literature, Awakening, Protest"
100,Rela Rela Re,Tribal,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Tribal (Adivasi) Culture, Nature, Folk Dance"
101,Bangaru Mayaledi,Social Tragedy,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Exploitation, Migration, Struggle"
102,Chalo Dhoom Dhaam,Protest,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Telangana Cultural Protest, Unity, Agitation"
103,Aadudaam Dappulla,Labor Rights,https://music.apple.com/us/album/vimalakka-hits/1717043510,"Labor Rights, Anti-Feudalism, Working Class Unity"
